Package                      Version
tiktoken                     0.12.0
tokenizers                   0.22.2
tqdm                         4.67.2
Twisted                      25.5.0
typer                        0.23.1
typing_extensions            4.15.0
typing-inspection            0.4.2
tzlocal                      5.3.1
uritemplate                  4.2.0
urllib3                      2.6.3
uvicorn                      0.44.0
uvloop                       0.22.1
virtualenv                   20.35.4
vncdotool                    1.2.0
wcwidth                      0.6.0
webencodings                 0.5.1
websocket-client             1.9.0
websockets                   15.0.1
xarray                       2025.12.0
xkbregistry                  0.3
xlrd                         2.0.1
xlsxwriter                   3.2.9
yarl                         1.22.0
yt-dlp                       2026.3.17
zipp                         3.23.0
zope.interface               8.2
zstandard                    0.25.0
